parid,aprland,aprbldg,aprtot,rmbed,sfla,sale_month,sale_day,sale_year,sale_date,water_front,vegetation_front,price
7943638,0,238136,238136,2,1384,1,18,2018,1/18/2018,0,1,275000
3109961,15600,48240,63840,2,944,7,25,2018,7/25/2018,0,0,69900
6319677,0,256470,256470,3,1768,3,20,2019,3/20/2019,0,1,264500
3041615,486720,542128,1028848,5,5070,7,17,2019,7/17/2019,1,0,1436600
5265480,121176,191010,312186,2,1292,10,16,2020,10/16/2020,0,0,380000
5265536,121176,206192,327368,2,1452,6,24,2019,6/24/2019,0,0,385000
6717621,0,212489,212489,3,1698,12,20,2018,12/20/2018,0,1,250000
3043928,606000,166050,772050,3,2146,8,21,2019,8/21/2019,1,0,1100000
3043987,1402500,575595,1978095,,,12,4,2020,12/4/2020,1,0,3525000
3060474,25700,112166,137866,2,1524,3,30,2017,3/30/2017,1,0,155000
3060521,25700,108968,134668,2,1428,12,14,2017,12/14/2017,1,0,151900
3044452,716774,282335,999109,3,2425,7,31,2020,7/31/2020,1,0,1200000
3044452,716774,282335,999109,3,2425,12,12,2020,12/12/2020,1,0,1400000
3060890,30500,124696,155196,3,1678,7,3,2019,7/3/2019,1,0,182000
3060911,25500,127841,153341,3,1678,3,15,2019,3/15/2019,1,0,179900
3044461,659200,225384,884584,4,2741,4,2,2018,4/2/2018,1,0,975000
3061659,15500,93693,109193,2,1434,9,5,2019,9/5/2019,1,0,132000
3061829,15500,102035,117535,2,1434,11,5,2018,11/5/2018,1,0,142000
3061837,15500,86555,102055,2,1434,3,12,2020,3/12/2020,1,0,129000
3061845,23500,86507,110007,2,999,1,31,2018,1/31/2018,1,0,115000
6717605,0,197348,197348,2,1389,6,18,2018,6/18/2018,0,1,234000
3062655,135000,99464,234464,3,1852,5,22,2017,5/22/2017,1,0,350000
3045173,436550,418234,854784,2,1526,8,12,2020,8/12/2020,1,0,1250000
3051173,221874,170212,392086,2,2028,7,16,2020,7/16/2020,1,0,625000
7168006,0,225120,225120,2,1389,6,6,2017,6/6/2017,0,1,275000
7168006,0,225120,225120,2,1389,5,13,2019,5/13/2019,0,1,285000
7943794,0,460000,460000,3,2529,11,15,2019,11/15/2019,0,1,545000
8007699,25000,185315,210315,3,1706,12,19,2019,12/19/2019,0,1,246000
8007700,25000,0,25000,4,1836,3,6,2020,3/6/2020,0,1,270000
6319821,0,209440,209440,2,1389,7,14,2020,7/14/2020,0,1,282500
7943581,0,320330,320330,3,1773,5,10,2019,5/10/2019,0,1,360000
7943581,0,320330,320330,3,1773,10,27,2020,10/27/2020,0,1,380000
3320794,178500,357521,536021,3,4375,3,13,2019,3/13/2019,1,1,655000
7943565,0,231200,231200,2,1384,8,29,2018,8/29/2018,0,1,280000
6959811,0,275600,275600,3,1768,4,19,2017,4/19/2017,0,1,296500
6467978,0,228660,228660,3,1768,5,27,2017,5/27/2017,0,1,232000
7695278,0,262640,262640,2,1384,7,2,2020,7/2/2020,0,1,320000
3563891,24000,122994,146994,3,1247,7,22,2020,7/22/2020,1,0,170000
5912809,0,200026,200026,2,1325,5,16,2019,5/16/2019,0,1,230000
6319758,0,198220,198220,2,1389,4,3,2019,4/3/2019,0,1,235000
6895023,0,192095,192095,2,1389,9,12,2017,9/12/2017,0,1,230000
3628446,156500,100224,256724,2,1133,1,31,2019,1/31/2019,1,0,280000
3631145,66880,98307,165187,4,1686,9,27,2019,9/27/2019,1,0,192500
6403252,0,263516,263516,3,1771,3,15,2018,3/15/2018,0,1,295900
6403252,0,263516,263516,3,1771,3,26,2020,3/26/2020,0,1,301500
